step,epoch,epoch_step,loss,learn_rate
500,499,0,0.0806187,0.004
1000,999,0,0.0596939,0.004
1500,1499,0,0.0584561,0.004
2000,1999,0,0.0541210,0.004
2500,2499,0,0.0561701,0.004
3000,2999,0,0.0533923,0.004
